Var1,media,varianza,asimetria,curtosis,entropia,contraste,correlacion,energia,homogeneidad
imagen1,60.15234375,9336.8982689951,1.49139370168107,3.73333610117163,0.990071000342868,0.00422667170736404,0.987208134048082,0.92967431336642,0.998468027185326
imagen2,54.734375,6903.98406862745,2.80305815678054,10.9517792352459,0.757878462538395,0.00767375729981426,0.974749278312354,0.956408742038057,0.998800776947241
imagen3,40.05078125,5199.3738817402,2.25921560938702,7.82651032604004,0.985687679358613,0.00131026822928285,0.979156784928627,0.974870174630419,0.999482037036602
imagen4,22.2421875,1005.9724877451,1.80442534828121,6.50154310463961,0.995592754452794,0.00349874491331801,0.967444030428401,0.97341528921273,0.999062422462099
imagen5,18.89453125,1059.69471507353,1.62932194991107,4.58779396539861,0.935455764557577,0.0016765797772544,0.960494328774378,0.981042577068047,0.99947166603658
imagen6,49.8046875,4703.79699754902,1.90568992481167,7.91140299546657,0.99365071169104,0.00324984091277324,0.983118976379392,0.954978259476958,0.999011584994063
imagen7,77.06640625,11145.12890625,1.08188850568123,2.68150577347744,0.978584485319995,0.00433938295289374,0.988933172326862,0.910093597778661,0.998420751079562
imagen8,60.046875,9216.23308823529,1.57897211914545,4.38117672337364,0.997841572999656,0.00574357722011802,0.987649407277574,0.928823814026901,0.9986973632613
imagen9,64.85546875,6490.32804840686,0.780624583340626,2.12589153376128,0.995592754452794,0.00404351593337826,0.988501076859828,0.926777609462545,0.998811209446455
imagen10,83.80859375,15332.210278799,1.78131435572052,6.25436017574041,0.984047163704568,0.00692234899628288,0.986655161094757,0.902183544693655,0.998372183490777
imagen11,30.25390625,2665.88429840686,2.69594215574448,13.9259432003287,0.957265876631391,0.00115059396478243,0.981517239748949,0.975130658145277,0.999583985923618
imagen12,43.5859375,13248.5494485294,3.02675490591506,11.4180205950136,0.89154350988015,0.00120225328565021,0.974607540466696,0.955637865133942,0.999508453734773
imagen13,25.671875,1744.28406862745,2.18523950747466,7.37197493320785,0.967661552439695,0.00442391638704103,0.971784589658357,0.969027427085683,0.999248591696469
imagen14,42.4453125,3323.70680147059,1.09881310823207,2.77353217921549,0.980495792602403,0.00546179910629375,0.984013203935697,0.949393313561579,0.998876057548483
imagen15,64.92578125,3627.58270526961,0.5347550660224,2.05084066659223,0.872525361916987,0.00642923729709041,0.986563527695929,0.933531527851456,0.997982077346527
imagen16,49.74609375,12739.8842984069,2.40730148413934,7.50109446110026,0.987238362433487,0.00176111321140168,0.958984553267652,0.96668699824311,0.999208477451098
imagen17,38.9296875,11256.4499387255,3.05944503817428,11.4979974162062,0.846354101358432,0.00089699366234059,0.950294190054935,0.981458404795014,0.999567157508487
imagen18,83.22265625,19600.5972886029,2.22366215958995,7.36289864230417,0.99365071169104,0.00523168031333726,0.989190168091703,0.902682685659008,0.998393238577615
imagen19,81.7734375,11386.9445465686,1.61711518899024,4.80475438159593,0.886945610221585,0.00896524032150883,0.990161030771805,0.903785118144508,0.997828038644303
imagen20,38.98046875,2870.17608762255,1.73470423789592,5.02946625731065,0.805027955573304,0.00784282416810882,0.974488961721968,0.953068555569956,0.998328988694995
imagen21,44.99609375,3791.97253370098,1.05512968916332,2.65125087071752,0.99889903094381,0.00431590144340839,0.98040468584185,0.946478493165341,0.998734385774589
imagen22,80.25,12006.9490196078,1.07517981304011,2.94837411870411,0.997841572999656,0.00557920665372053,0.985837695252875,0.908778022967644,0.998532953559053
imagen23,70.65234375,8092.81591605392,1.18439543506547,3.27866794713862,0.980495792602403,0.00789917979087368,0.985102515220574,0.917042997684278,0.998105746629817
imagen24,72.3515625,9447.89160539216,1.52570575133995,5.35393027028965,0.985687679358613,0.0087257289247582,0.980997676938468,0.914506272207013,0.997595258613605
imagen25,56.58984375,11414.0154258578,1.94410222314052,5.52828016392036,0.988699408288497,0.00171884649432804,0.975334777276241,0.955158018731184,0.999368934432581
imagen26,46.66015625,2718.84483762255,0.677461569067751,2.33827145964408,0.990071000342868,0.00650907442934062,0.980636738028885,0.946814227224401,0.998624414038499
imagen27,14.8671875,840.656801470588,2.09278902778175,6.52752540261837,0.942163169083551,0.000516593208677827,0.959759808438513,0.991187896380478,0.999741703395661
imagen28,50.421875,11854.3546568627,2.07423612807563,5.94583181209355,0.851806188748632,0.00269098098702177,0.98229016777044,0.939995595000226,0.999074045809294
imagen29,39.62109375,9279.15390625,2.71428510506817,9.53086197303235,0.835116494842114,0.00119286068185607,0.977108468460831,0.957237608682633,0.999475579621494
imagen30,53.4609375,7743.63768382353,2.00628397447366,6.52606296598492,0.999295444362155,0.00357388574367115,0.987602163392767,0.937959274959994,0.998683117812212
imagen31,127.640625,28773.3605392157,1.81267989967175,6.05423804089604,0.565101332295957,0.00754226084669627,0.985920987660208,0.885050243187547,0.997802991700852
imagen32,134.31640625,26497.3073376225,1.62418877919646,5.00335047893343,0.473929123480958,0.0102802048526888,0.985615127496886,0.872943135918241,0.997500583403694
imagen33,61.99609375,8884.98429840686,1.58681271526016,4.73946170901242,0.997180398894264,0.00230588423146194,0.985681028654884,0.944791488488246,0.999073458771557
imagen34,9.19140625,82.3043964460784,0.639504140155731,2.17874669536456,0.912999213585247,0.00215560257075566,0.979496569268578,0.989050324154272,0.999480628146033
imagen35,24.61328125,953.281234681373,2.02237114865495,7.1482772468857,0.886945610221585,0.00435816816048203,0.97638403783283,0.977067481796053,0.999249883179491
imagen36,70.63671875,4810.37339154412,0.931003371244617,3.59165661585812,0.877437311089633,0.00912961088790632,0.989278665059652,0.917172662978084,0.997904744908622
imagen37,45.71484375,9945.76542585784,2.30440131979688,6.91908791677792,0.988699408288497,0.00260175125097742,0.971111205147694,0.94624294471132,0.999244717247403
imagen38,23.859375,2117.48602941176,5.42852224215056,38.9091250484595,0.565101332295957,0.00503443563366027,0.963356174683679,0.981705224452988,0.999192029212787
imagen39,30.578125,2793.29583333333,4.4698547383663,27.1669270985092,0.643940363880651,0.00478083533121843,0.971627494114222,0.976430401068186,0.99891863735235
imagen40,30.03515625,1427.21052389706,1.14385851735818,3.80388016217809,0.999955971993497,0.00269098098702177,0.979904318103134,0.970573507042525,0.999360402817468
imagen41,30.265625,5040.79975490196,2.83492558112785,10.8578167946249,0.908910327410359,0.00148403139947448,0.970416491237995,0.965167816981284,0.999390850508101
imagen42,15.9296875,1350.1518995098,3.03986095515817,12.1485680872099,0.990071000342868,0.00131966083307699,0.972996924849014,0.980673743535148,0.999456011696923
imagen43,47.81640625,6585.09949448529,2.45936627300065,9.25842824655067,0.997180398894264,0.00597839231497158,0.98637181339384,0.942923907068,0.998641007638535
imagen44,46.7734375,6739.51709558823,2.64030663847566,10.2737789496166,0.996430823440479,0.00629774084397241,0.985839752712632,0.944098910252312,0.998663706431038
imagen45,8.99609375,145.313710171569,1.3987185308896,4.4195450477954,0.999823882598873,0.00127739411600335,0.971245979882216,0.989412241623458,0.999600814338749
imagen46,42.171875,3358.96642156863,1.71320675246066,5.70131569290019,0.987238362433487,0.00342360408296487,0.981159621667273,0.953518621174624,0.999028061186552
imagen47,17.95703125,1204.09618566176,2.17532579152145,7.42574608746176,0.954434002924965,0.000798371322502096,0.959050435548368,0.986771162341228,0.99964777735772
imagen48,27.046875,1137.70759803922,1.42286204900932,4.57653155496944,0.88224379779762,0.00405760483906947,0.971654048206598,0.973574151270538,0.999221979319052
imagen49,94.57421875,13355.4532935049,0.882012411307981,2.41667636361258,0.990071000342868,0.00519880620005777,0.986401301049663,0.905535791656995,0.998307844154787
imagen50,52.55078125,5171.12682291667,1.64527024381156,5.63991462484273,0.995592754452794,0.0036631154797155,0.980937178784001,0.9487902862854,0.999207851277512
